7.84E+03,6.42E+03,5.61E+03,5.22E+03,4.90E+03,4.69E+03,4.53E+03,4.32E+03,4.29E+03,4.22E+03,4.09E+03,4.10E+03,4.05E+03,4.00E+03,
4.82E+03,3.46E+03,2.82E+03,2.44E+03,2.16E+03,1.98E+03,1.84E+03,1.75E+03,1.66E+03,1.59E+03,1.54E+03,1.49E+03,1.45E+03,1.41E+03,
nan,3.34E+03,2.68E+03,2.27E+03,2.00E+03,1.81E+03,1.69E+03,1.59E+03,1.51E+03,1.43E+03,1.37E+03,1.33E+03,1.29E+03,1.25E+03,
nan,nan,2.63E+03,2.22E+03,1.97E+03,1.77E+03,1.63E+03,1.53E+03,1.44E+03,1.37E+03,1.32E+03,1.26E+03,1.23E+03,1.18E+03,
nan,nan,nan,2.20E+03,1.95E+03,1.75E+03,1.61E+03,1.50E+03,1.42E+03,1.34E+03,1.28E+03,1.23E+03,1.19E+03,1.16E+03,
nan,nan,nan,nan,1.93E+03,1.74E+03,1.60E+03,1.49E+03,1.40E+03,1.34E+03,1.27E+03,1.21E+03,1.17E+03,1.13E+03,
nan,nan,nan,nan,nan,1.72E+03,1.59E+03,1.48E+03,1.39E+03,1.33E+03,1.26E+03,1.21E+03,1.17E+03,1.12E+03,
nan,nan,nan,nan,nan,nan,nan,1.47E+03,1.39E+03,1.32E+03,1.25E+03,1.20E+03,1.16E+03,1.12E+03,
nan,nan,nan,nan,nan,nan,nan,nan,1.37E+03,1.31E+03,1.25E+03,1.19E+03,1.15E+03,1.11E+03,
nan,nan,nan,nan,nan,nan,nan,nan,nan,1.30E+03,1.24E+03,1.18E+03,1.15E+03,1.11E+03,
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.18E+03,1.14E+03,1.10E+03,
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.13E+03,1.09E+03,
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
8.64E+00,7.07E+00,6.19E+00,5.76E+00,5.41E+00,5.17E+00,4.99E+00,4.77E+00,4.73E+00,4.65E+00,4.50E+00,4.52E+00,4.47E+00,4.41E+00,
5.31E+00,3.82E+00,3.11E+00,2.69E+00,2.39E+00,2.18E+00,2.03E+00,1.93E+00,1.83E+00,1.75E+00,1.70E+00,1.64E+00,1.59E+00,1.55E+00,
#VALUE!,3.68E+00,2.96E+00,2.50E+00,2.21E+00,1.99E+00,1.86E+00,1.75E+00,1.66E+00,1.57E+00,1.51E+00,1.46E+00,1.42E+00,1.37E+00,
#VALUE!,#VALUE!,2.90E+00,2.45E+00,2.17E+00,1.95E+00,1.79E+00,1.68E+00,1.59E+00,1.51E+00,1.45E+00,1.39E+00,1.36E+00,1.30E+00,
#VALUE!,#VALUE!,#VALUE!,2.43E+00,2.15E+00,1.93E+00,1.77E+00,1.66E+00,1.56E+00,1.48E+00,1.42E+00,1.35E+00,1.31E+00,1.27E+00,
#VALUE!,#VALUE!,#VALUE!,#VALUE!,2.13E+00,1.91E+00,1.76E+00,1.65E+00,1.55E+00,1.47E+00,1.40E+00,1.34E+00,1.29E+00,1.25E+00,
#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1.90E+00,1.75E+00,1.64E+00,1.54E+00,1.46E+00,1.39E+00,1.33E+00,1.29E+00,1.24E+00,
#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1.62E+00,1.53E+00,1.45E+00,1.38E+00,1.32E+00,1.28E+00,1.23E+00,
#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1.51E+00,1.45E+00,1.38E+00,1.31E+00,1.27E+00,1.22E+00,
#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1.43E+00,1.37E+00,1.30E+00,1.27E+00,1.22E+00,
#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1.30E+00,1.26E+00,1.21E+00,
#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1.25E+00,1.21E+00,
#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1.21E+00,
#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,
,,,,,,,,,,,,,,
