,Parameter,Parameter,Parameter,Parameter,MPSP [$/kg],MPSP [$/kg],MPSP [$/kg],MPSP [$/kg],MPSP [$/kg],GWP [kg CO2-eq/kg],GWP [kg CO2-eq/kg],GWP [kg CO2-eq/kg],GWP [kg CO2-eq/kg],GWP [kg CO2-eq/kg],FEC [MJ/kg],FEC [MJ/kg],FEC [MJ/kg],FEC [MJ/kg],FEC [MJ/kg]
,Name,Baseline,Min,Max,MPSP baseline,MPSP min,MPSP min diff,MPSP max,MPSP max diff,GWP baseline,GWP min,GWP min diff,GWP max,GWP max diff,FEC baseline,FEC min,FEC min diff,FEC max,FEC max diff
0,Flow rate [U.S. ton/day],2205.0,1984.5,2425.5,1.3507053661070987,1.3507026470316836,-2.719075415047456e-06,1.3507044113152793,-9.547918193852922e-07,2.1839012538275226,2.1838878071994987,-1.34466280239387e-05,2.1838955069219232,-5.746905599401941e-06,22.188489527570272,22.188279189758155,-0.00021033781211698965,22.1883980015373,-9.152603297124529e-05
1,Pretreatment sulfuric acid loading [mg/g-dry feedstock],22.1,10.0,35.0,1.3507078384922266,1.3507062311214175,-1.6073708091202121e-06,1.3507070456090835,-7.928831431414096e-07,2.1839168524370303,2.1839066710650505,-1.0181371979722798e-05,2.1839118650772,-4.987359830455063e-06,22.18873847695714,22.1885759670087,-0.0001625099484421355,22.188658869321532,-7.96076356088804e-05
2,Pretreatment solid loading [%],0.3,0.25,0.4,1.3507381144230985,1.3713857213507918,0.020647606927693296,1.3248629328719261,-0.02587518155117241,2.184072008425302,2.295506386873435,0.11143437844813331,2.0451272664459363,-0.13894474197936546,22.191148420268984,23.933552033022135,1.7424036127531508,20.019206466967553,-2.171941953301431
3,Pretreatment glucan-to-glucose [%],0.099,0.06,0.12,1.3507313040146485,1.3577410496372684,0.007009745622619912,1.3465405326470752,-0.004190771367573287,2.1840176220729495,2.1819663165071708,-0.002051305565778705,2.1852617568820305,0.0012441348090810322,22.190170265143376,22.14240623296844,-0.04776403217493552,22.21869315522092,0.02852289007754294
4,Pretreatment xylan-to-xylose [%],0.9,0.8,0.9200000000000002,1.3505980615927,1.3698092871617586,0.019211225569058632,1.3473606388710686,-0.003237422721631411,2.183682728880731,2.135360869831234,-0.04832185904949693,2.194776198653248,0.011093469772517128,22.184728474658577,21.34248121040367,-0.8422472642549081,22.378983941902355,0.19425546724377796
5,Enzymatic hydrolysis solid loading [%],0.2,0.175,0.25,1.3505247123923196,1.3711099785826544,0.02058526619033474,1.3213694598712937,-0.02915525252102591,2.1832399529155313,2.261161708129984,0.07792175521445266,2.076889749454987,-0.10635020346054436,22.178896259178504,23.32225970433718,1.143363445158677,20.615860798981405,-1.5630354601970993
6,Enzyme loading [mg/g glucan],20.0,10.0,30.0,1.3507176778143763,1.2865210491054295,-0.06419662870894682,1.4149511104007664,0.06423343258639003,2.183978302436513,2.163998703907617,-0.01997959852889597,2.2041062505567863,0.02012794812027341,22.189715770958827,21.974946720221013,-0.21476905073781438,22.406803869681784,0.2170880987229573
7,Enzymatic hydrolysis time [hr],24.0,21.6,26.4,1.3507180780690724,1.3498879703633304,-0.0008301077057419892,1.351522488579475,0.0008044105104025867,2.183980447750876,2.183975493680058,-4.954070818019574e-06,2.183978003591207,-2.444159668879564e-06,22.189749250993852,22.18966978318603,-7.946780782219776e-05,22.189710065526032,-3.918546781989107e-05
8,Enzymatic hydrolysis glucan-to-glucose [%],0.85,0.75,0.8999999999999999,1.3505617671856078,1.3813597229273398,0.03079795574173194,1.3381672042359252,-0.012394562949682664,2.182773289342045,2.110246188612904,-0.07252710072914104,2.219378270651811,0.03660498130976597,22.16829089605085,20.900008843159434,-1.268282052891415,22.81058819976705,0.6422973037162016
9,Csl loading [g/L],10.0,5.0,15.0,1.3507207417365252,1.3496252359028138,-0.0010955058337114298,1.3517715832216997,0.0010508414851744252,2.1840117263001986,2.1633868268214105,-0.020624899478788095,2.2045821958052323,0.020570469505033717,22.190259296075634,22.030142404780907,-0.16011689129472728,22.349634364076188,0.15937506800055345
10,Innoculum ratio [%],0.07,0.05000000000000001,0.1,1.3508593601350012,1.355218995449433,0.004359635314431731,1.3438277159516716,-0.007031644183329577,2.18454056952716,2.203694586274964,0.01915401674780437,2.1539977044651004,-0.030542865062059388,22.200166902873626,22.472139298069955,0.2719723951963289,21.758474549069202,-0.44169235380442373
