Biorefinery,MPSP,,,,Worst,,,,Baseline,Best
Lignocellulose,1.704312121,Sugarcane,2.215605757,Absolute Difference,-0.511293636,Relative Difference,-23%,,-0.613552363,-0.736262836
Lignocellulose,1.592642369,Sugarcane,2.070435079,Difference,-0.47779271,Relative Difference,-23%,,-0.573351252,-0.688021502
Lignocellulose,1.373126512,Sugarcane,1.785064465,Difference,-0.411937953,Relative Difference,-23%,,-0.494325544,-0.593190652
Lignocellulose,1.50868548,Sugarcane,1.961291124,Difference,-0.452605644,Relative Difference,-23%,,-0.543126773,-0.651752127
Lignocellulose,1.520914136,Sugarcane,1.977188377,Difference,-0.456274241,Relative Difference,-23%,,-0.547529089,-0.657034907
Lignocellulose,1.372478049,Sugarcane,1.784221464,Difference,-0.411743415,Relative Difference,-23%,,-0.494092098,-0.592910518
Lignocellulose,1.71327488,Sugarcane,2.227257344,Difference,-0.513982464,Relative Difference,-23%,,-0.616778957,-0.740134748
Lignocellulose,1.348768736,Sugarcane,1.753399357,Difference,-0.404630621,Relative Difference,-23%,,-0.485556745,-0.582668094
Lignocellulose,1.744283292,Sugarcane,2.26756828,Difference,-0.523284988,Relative Difference,-23%,,-0.627941986,-0.753530383
Lignocellulose,1.773499272,Sugarcane,2.305549053,Difference,-0.532049781,Relative Difference,-23%,,-0.638459737,-0.766151685
Lignocellulose,1.630508847,Sugarcane,2.119661501,Difference,-0.489152654,Relative Difference,-23%,,-0.586983185,-0.704379822
Lignocellulose,1.593410766,Sugarcane,2.071433995,Difference,-0.478023229,Relative Difference,-23%,,-0.573627875,-0.68835345
Lignocellulose,1.548718873,Sugarcane,2.013334535,Difference,-0.464615662,Relative Difference,-23%,,-0.557538794,-0.669046553
Lignocellulose,1.563789211,Sugarcane,2.032925974,Difference,-0.469136763,Relative Difference,-23%,,-0.562964116,-0.675556939
Lignocellulose,1.320382085,Sugarcane,1.71649671,Difference,-0.396114625,Relative Difference,-23%,,-0.47533755,-0.57040506
Lignocellulose,1.496909648,Sugarcane,1.945982542,Difference,-0.449072894,Relative Difference,-23%,,-0.538887473,-0.646664967
Lignocellulose,1.830801118,Sugarcane,2.380041453,Difference,-0.549240335,Relative Difference,-23%,,-0.659088402,-0.790906082
Lignocellulose,1.370240284,Sugarcane,1.781312369,Difference,-0.411072085,Relative Difference,-23%,,-0.493286502,-0.591943802
Lignocellulose,1.382075087,Sugarcane,1.796697613,Difference,-0.414622526,Relative Difference,-23%,,-0.497547031,-0.597056437
Lignocellulose,1.451942062,Sugarcane,1.88752468,Difference,-0.435582618,Relative Difference,-23%,,-0.522699142,-0.62723897
Lignocellulose,1.372451016,Sugarcane,1.784186321,Difference,-0.411735305,Relative Difference,-23%,,-0.494082366,-0.592898839
Lignocellulose,1.978217094,Sugarcane,2.571682222,Difference,-0.593465128,Relative Difference,-23%,,-0.712158154,-0.854589784
Lignocellulose,1.400581797,Sugarcane,1.820756337,Difference,-0.42017454,Relative Difference,-23%,,-0.504209448,-0.605051338
Lignocellulose,1.506202278,Sugarcane,1.958062962,Difference,-0.451860684,Relative Difference,-23%,,-0.542232821,-0.650679385
Lignocellulose,1.800712221,Sugarcane,2.340925887,Difference,-0.540213666,Relative Difference,-23%,,-0.648256399,-0.777907679
Lignocellulose,1.422681355,Sugarcane,1.849485761,Difference,-0.426804406,Relative Difference,-23%,,-0.512165287,-0.614598345
Lignocellulose,1.496902251,Sugarcane,1.945972927,Difference,-0.449070676,Relative Difference,-23%,,-0.538884811,-0.646661773
Lignocellulose,1.465128239,Sugarcane,1.904666711,Difference,-0.439538472,Relative Difference,-23%,,-0.527446166,-0.6329354
Lignocellulose,1.791244918,Sugarcane,2.328618393,Difference,-0.537373475,Relative Difference,-23%,,-0.64484817,-0.773817804
Lignocellulose,1.381833738,Sugarcane,1.796383859,Difference,-0.414550121,Relative Difference,-23%,,-0.497460145,-0.596952174
Lignocellulose,1.432004234,Sugarcane,1.861605504,Difference,-0.42960127,Relative Difference,-23%,,-0.515521524,-0.618625829
Lignocellulose,1.612019263,Sugarcane,2.095625041,Difference,-0.483605778,Relative Difference,-23%,,-0.580326934,-0.69639232
Lignocellulose,1.496928975,Sugarcane,1.946007668,Difference,-0.449078693,Relative Difference,-23%,,-0.538894432,-0.646673318
Lignocellulose,1.724429742,Sugarcane,2.241758665,Difference,-0.517328923,Relative Difference,-23%,,-0.620794708,-0.744953649
Lignocellulose,1.5135955,Sugarcane,1.96767415,Difference,-0.45407865,Relative Difference,-23%,,-0.54489438,-0.653873256
Lignocellulose,1.590259848,Sugarcane,2.067337802,Difference,-0.477077954,Relative Difference,-23%,,-0.572493545,-0.686992254
Lignocellulose,1.291346895,Sugarcane,1.678750964,Difference,-0.387404069,Relative Difference,-23%,,-0.464884883,-0.557861859
Lignocellulose,1.699266768,Sugarcane,2.209046799,Difference,-0.509780031,Relative Difference,-23%,,-0.611736037,-0.734083245
Lignocellulose,1.558714006,Sugarcane,2.026328208,Difference,-0.467614202,Relative Difference,-23%,,-0.561137042,-0.673364451
