Stream,Type,Original unit,HXN unit,H_in (kJ),H_out (kJ),T_in (C),T_out (C)
,,,,,,,
0,Cold,F401_H,HX_10_0_cs,8.87E+06,1.40E+07,6.01E+01,6.17E+01
,,,,,,,
1,Cold,H_M202,HX_11_1_cs,2.80E+05,4.87E+06,2.69E+01,9.90E+01
,,,,,,,
2,Cold,H_M201,HX_11_2_cs,2.85E+05,5.06E+06,2.69E+01,9.90E+01
,,,,,,,
3,Cold,M401_H,HX_10_3_cs,9.47E+06,1.55E+07,5.04E+01,8.00E+01
,,,,,,,
4,Cold,D403 - boiler,Util_4_hs,5.89E+06,2.05E+07,1.52E+02,1.64E+02
,,,,,,,
5,Cold,R401_H,HX_10_5_cs,7.89E+06,3.52E+07,2.99E+01,4.69E+01
,,,,,,,
6,Cold,U101 - unknown1,HX_10_6_cs,4.00E+07,1.12E+08,5.00E+01,9.99E+01
,,,,,,,
7,Cold,D401 - boiler,Util_7_hs,3.73E+07,1.81E+08,1.18E+02,1.41E+02
,,,,,,,
8,Cold,D402 - boiler,HX_10_8_cs,4.21E+07,5.49E+07,8.02E+01,1.43E+02
,,,,,,,
9,Cold,U101 - unknown2,HX_10_9_cs,3.43E+07,1.10E+08,4.69E+01,1.00E+02
,,,,,,,
10,Hot,D402 - condenser,HX_10_9_cs,2.27E+08,1.51E+08,1.00E+02,9.93E+01
,,,,,,,
11,Hot,D401 - condenser,HX_11_2_cs,1.47E+08,1.42E+08,6.29E+01,5.06E+01
,,,,,,,
12,Hot,M304_H,HX_12_3_cs,1.02E+08,9.61E+07,8.81E+01,3.00E+01
,,,,,,,
13,Hot,H201,HX_8_13_hs,4.69E+07,4.66E+07,1.13E+02,9.93E+01
,,,,,,,
14,Hot,H301,HX_14_1_cs,5.80E+07,5.80E+07,9.98E+01,5.00E+01
,,,,,,,
15,Hot,R402_H,HX_15_8_cs,5.77E+07,5.73E+07,1.00E+02,9.89E+01
,,,,,,,
16,Hot,D403 - condenser,Util_16_cs,1.34E+07,2.92E+06,8.73E+01,8.45E+01
,,,,,,,
17,Hot,D402_H,Util_17_cs,1.66E+07,7.09E+06,9.93E+01,5.69E+01
,,,,,,,
18,Hot,D403_H,Util_18_cs,2.22E+06,1.72E-09,8.45E+01,2.50E+01
