7.85E+03,6.48E+03,5.84E+03,5.33E+03,5.06E+03,4.79E+03,4.68E+03,4.55E+03,4.45E+03,4.29E+03,4.29E+03,4.17E+03,4.19E+03,4.07E+03,4.12E+03
4.67E+03,3.34E+03,2.68E+03,2.29E+03,2.02E+03,1.84E+03,1.69E+03,1.59E+03,1.52E+03,1.46E+03,1.40E+03,1.36E+03,1.32E+03,1.28E+03,1.25E+03
4.49E+03,3.18E+03,2.52E+03,2.11E+03,1.84E+03,1.66E+03,1.52E+03,1.41E+03,1.34E+03,1.27E+03,1.22E+03,1.18E+03,1.14E+03,1.10E+03,1.08E+03
nan,3.17E+03,2.50E+03,2.10E+03,1.81E+03,1.62E+03,1.46E+03,1.35E+03,1.28E+03,1.22E+03,1.16E+03,1.12E+03,1.08E+03,1.04E+03,1.01E+03
nan,nan,2.48E+03,2.08E+03,1.80E+03,1.61E+03,1.45E+03,1.34E+03,1.25E+03,1.18E+03,1.12E+03,1.08E+03,1.04E+03,1.01E+03,9.82E+02
nan,nan,nan,2.07E+03,1.79E+03,1.60E+03,1.44E+03,1.33E+03,1.24E+03,1.17E+03,1.11E+03,1.07E+03,1.02E+03,9.84E+02,9.58E+02
nan,nan,nan,nan,1.77E+03,1.58E+03,1.44E+03,1.32E+03,1.24E+03,1.17E+03,1.11E+03,1.06E+03,1.02E+03,9.79E+02,9.49E+02
nan,nan,nan,nan,nan,nan,1.43E+03,1.31E+03,1.23E+03,1.16E+03,1.10E+03,1.05E+03,1.01E+03,9.72E+02,9.44E+02
nan,nan,nan,nan,nan,nan,nan,1.30E+03,1.22E+03,1.15E+03,1.09E+03,1.05E+03,1.01E+03,9.68E+02,9.39E+02
nan,nan,nan,nan,nan,nan,nan,nan,1.21E+03,1.15E+03,1.09E+03,1.04E+03,1.00E+03,9.64E+02,9.35E+02
nan,nan,nan,nan,nan,nan,nan,nan,nan,1.14E+03,1.09E+03,1.04E+03,9.96E+02,9.59E+02,9.30E+02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.08E+03,1.04E+03,9.92E+02,9.56E+02,9.26E+02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.03E+03,9.91E+02,9.52E+02,9.24E+02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.81E+02,9.49E+02,9.18E+02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.40E+02,9.15E+02
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
8.65E+00,7.14E+00,6.43E+00,5.87E+00,5.58E+00,5.28E+00,5.16E+00,5.02E+00,4.90E+00,4.72E+00,4.73E+00,4.59E+00,4.61E+00,4.49E+00,4.54E+00
5.15E+00,3.68E+00,2.95E+00,2.53E+00,2.22E+00,2.03E+00,1.87E+00,1.75E+00,1.68E+00,1.60E+00,1.55E+00,1.49E+00,1.45E+00,1.41E+00,1.38E+00
4.95E+00,3.50E+00,2.78E+00,2.33E+00,2.03E+00,1.83E+00,1.68E+00,1.56E+00,1.48E+00,1.40E+00,1.34E+00,1.30E+00,1.25E+00,1.21E+00,1.19E+00
