,Path,N_calls,Mean_time_per_call [s],Cumulative_time [s]
get_SA_MPSP,"""...\BioSTEAM\Bioindustrial-Park\BioSTEAM 2.x.x\biorefineries\TAL\system_solubility_exploit.py"", line 1321",1,1.9728486,1.9728486
simulate,"""...\BioSTEAM\biosteam\biosteam\_unit.py"", line 882",24,0.049408092,1.1857942
try_method_with_object_stamp,"""...\BioSTEAM\thermosteam\thermosteam\exceptions.py"", line 72",564,0.003489726,1.9682054
_summary,"""...\BioSTEAM\biosteam\biosteam\_unit.py"", line 794",312,0.003978492,1.2412894
simulate_unit_in_path,"""...\BioSTEAM\biosteam\biosteam\_system.py"", line 100",24,0.049409979,1.1858395
_cost,"""...\BioSTEAM\biosteam\biosteam\units\facilities\hxn\_heat_exchanger_network.py"", line 153",3,0.389867433,1.1696023
__call__,"""...\Anaconda3\envs\bioenv\lib\site-packages\scipy\optimize\_differentialevolution.py"", line 1345",2148,6.05E-05,0.1299303
_converge,"""...\BioSTEAM\biosteam\biosteam\_system.py"", line 1395",24,0.0420495,1.009188
_run,"""...\BioSTEAM\biosteam\biosteam\units\heat_exchange.py"", line 387",90,0.001658852,0.1492967
run,"""...\BioSTEAM\biosteam\biosteam\_unit.py"", line 773",312,0.003232534,1.0085506
synthesize_network,"""...\BioSTEAM\biosteam\biosteam\units\facilities\hxn\hxn_synthesis.py"", line 237",3,0.282982733,0.8489482
set_PH,"""...\BioSTEAM\thermosteam\thermosteam\equilibrium\vle.py"", line 743",191,0.003130362,0.5978992
aitken,"""...\Anaconda3\envs\bioenv\lib\site-packages\flexsolve\iterative_solvers.py"", line 101",645,0.000889821,0.5739344
<listcomp>,"""...\BioSTEAM\thermosteam\thermosteam\mixture\mixture.py"", line 347",1897,0.000144311,0.2737579
_run_counter_current_heat_exchange,"""...\BioSTEAM\biosteam\biosteam\units\heat_exchange.py"", line 718",64,0.007561714,0.4839497
counter_current_heat_exchange,"""...\BioSTEAM\biosteam\biosteam\units\design_tools\heat_transfer.py"", line 87",64,0.007555831,0.4835732
T_dependent_property_integral,"""...\Anaconda3\envs\bioenv\lib\site-packages\thermo\utils\t_dependent_property.py"", line 2530",58543,7.37E-06,0.4317227
