,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,304982.66872109094,348820.00078381615,392657.3328013156,436494.66478774487,480331.9967486598,524169.32869722875,568006.6606312927,611843.9925536985,655681.3244684539,699518.656376521,743355.9882790835,787193.320177002,831030.65207117,874867.9839622767,918705.3158500203,962542.6477321464,1006379.9796190815,1050217.3114988534,1094054.64338078,1137891.9752608412,1181729.3071365862,1225566.6390127372,1269403.9708878659,1313241.3027620737,1357078.6346354512,1400915.9665080758,1444753.2983800822,1488590.6302513334,1532427.962119612,1576265.293992205,1620102.6258620422,1663939.957731341,1707777.2896049302,1751614.6214692323,1795451.9533369434,1839289.2852047435,1883126.6170722777,1926963.948933651,1970801.2808061522,2014638.6126732593,2058475.9445406476,2102313.2763992487,2146150.608272179,2189987.9401382264,2233825.2720047487,2277662.6038729227,2321499.935744404,2365337.267600015,2409174.599465118,2453011.93133009
1,304982.8893614053,348820.26383235015,392657.6384627607,436495.01342742855,480332.3886398496,524169.7640407854,568007.1395884095,611844.5152531489,655681.891011063,699519.2668462478,743356.6427454338,787194.0186980887,831031.3946958843,874868.770732348,918706.1468006499,962543.5229008073,1006380.8990246003,1050218.2751704836,1094055.651335857,1137893.027518302,1181730.4037165826,1225567.7799292118,1269405.1561526677,1313242.5323880468,1357079.9086304924,1400917.284888031,1444754.66115122,1488592.0374218645,1532429.4137033452,1576266.7899836225,1620104.1662734363,1663941.5425690766,1707778.9188691636,1751616.295174072,1795453.6714825127,1839291.0477926992,1883128.4241139868,1926965.8004345582,1970803.1767583801,2014640.5530852498,2058477.9294149636,2102315.305747359,2146152.682082262,2189990.0584195354,2233827.434759028,2277664.8111001905,2321502.1874441775,2365339.5637896406,2409176.9401368513,2453014.3164873146
2,304982.9323446167,348820.3088668705,392657.6853867145,436495.06190589996,480332.43842460815,524169.81494296045,568007.1914610384,611844.5679788996,655681.9444965946,699519.3210141489,743356.6975315909,787194.0740489367,831031.4505662029,874868.8270834002,918706.2036005432,962543.5801176337,1006380.956634679,1050218.3331516902,1094055.709668666,1137893.086185612,1181730.4627025349,1225567.8392194288,1269405.215736308,1313242.5922531653,1357079.9687700071,1400917.3452868296,1444754.7218036447,1488592.09832044,1532429.474837228,1576266.8513540027,1620104.2278707733,1663941.6043875283,1707778.9809042783,1751616.3574210159,1795453.733937747,1839291.1104544792,1883128.4869711862,1926965.8634879126,1970803.240004622,2014640.6165213303,2058477.993038029,2102315.369554727,2146152.746071421,2189990.1225881088,2233827.4991047946,2277664.8756214743,2321502.252138153,2365339.62865483,2409177.005171497,2453014.38168816
3,304982.9369736606,348820.31406218617,392657.6911507048,436495.0682388585,480332.44532742933,524169.82241598616,568007.1995045331,611844.5765930706,655681.9536816044,699519.3307701328,743356.7078586589,787194.0849471816,831031.4620357023,874868.8391242189,918706.2162127378,962543.5933012527,1006380.9703897648,1050218.3474773562,1094055.7245659365,1137893.1016545095,1181730.478743078,1225567.8558316382,1269405.2329201936,1313242.6100087431,1357079.9870972908,1400917.3641858315,1444754.7412743752,1488592.1183629092,1532429.4954514434,1576266.8725399757,1620104.2496285103,1663941.6267170354,1707779.0038055612,1751616.380894084,1795453.757982605,1839291.1350711312,1883128.5121596528,1926965.8892481737,1970803.2663366913,2014640.643425214,2058478.02051373,2102315.3976022503,2146152.774690762,2189990.1517792824,2233827.528867799,2277664.9059563125,2321502.2830448286,2365339.660133345,2409177.0372218564,2453014.4143103706
4,304982.9312667183,348820.3073521295,392657.68343643413,436495.0595183112,480332.4355984033,524169.8116771363,568007.1877548207,611844.5638316731,655681.9399078566,699519.3159834982,743356.6920586884,787194.0681334977,831031.444207987,874868.8202822076,918706.1963561934,962543.5724299859,1006380.9485035802,1050218.3245770328,1094055.7006503462,1137893.07672354,1181730.4527966287,1225567.8288696194,1269405.204942523,1313242.5810153452,1357079.9570881044,1400917.3331607934,1444754.7092334311,1488592.085306012,1532429.4613785418,1576266.8374510296,1620104.2135234794,1663941.5895958839,1707778.9656682597,1751616.3417405987,1795453.7178129074,1839291.0938851933,1883128.4699574579,1926965.8460297147,1970803.2221018928,2014640.598174087,2058477.974246254,2102315.350318408,2146152.72639054,2189990.1024626615,2233827.478534764,2277664.854606851,2321502.230678926,2365339.6067509917,2409176.9828230427,2453014.3588950764
5,304982.3201360561,348819.57054486324,392656.82062731346,436494.07015593175,480331.31928089395,524168.56810315006,568005.8166934638,611843.0650991764,655680.3133589978,699517.5614997129,743354.8095423153,787192.0575031077,831029.3053950692,874866.5532286441,918703.8010116094,962541.048751409,1006378.2964534913,1050215.544122576,1094052.7917627473,1137890.0393769448,1181727.2869684359,1225564.5345395275,1269401.7820923259,1313239.0296286603,1357076.2771501257,1400913.5246581128,1444750.772153866,1488588.0196384098,1532425.2671115107,1576262.514577691,1620099.7620341121,1663937.0094825581,1707774.2569270546,1751611.5043583685,1795448.751786153,1839285.9992083951,1883123.2466252346,1926960.4940332994,1970797.7414439379,2014634.98884677,2058472.236245311,2102309.483639992,2146146.731031075,2189983.9784191684,2233821.225805661,2277658.47318448,2321495.7205630164,2365332.967938856,2409170.215312143,2453007.4626830174
6,304982.91322952695,348820.2874732132,392657.6617047186,436495.03593251435,480332.41015761695,524169.7843807014,568007.1586022374,611844.5328225531,655681.9070418869,699519.2812604546,743356.6554783614,787194.0296957269,831031.4039126368,874868.7781291745,918706.1523453514,962543.5265612565,1006380.9007769071,1050218.2749923498,1094055.649207596,1137893.0234226752,1181730.397637602,1225567.771852397,1269405.146067065,1313242.5202816324,1357079.8944961007,1400917.2687104782,1444754.6429247789,1488592.0171390006,1532429.391353157,1576266.765567253,1620104.1397812816,1663941.5139952786,1707778.8882092163,1751616.2624231388,1795453.6366369617,1839291.0108507785,1883128.3850645586,1926965.7592783053,1970803.1334919904,2014640.5077057043,2058477.8819193654,2102315.2561330018,2146152.6303466107,2189990.004560201,2233827.378773783,2277664.752987317,2321502.1272008424,2365339.5014143577,2409176.8756278497,2453014.2498413264
7,304982.93683871505,348820.3139503217,392657.6879439413,436495.06450689246,480332.44106362044,524169.8176155152,568007.1941658119,611844.5707085702,655681.9472510421,699519.3237914327,743356.7003300834,787194.0768672621,831031.453403187,874868.8299380317,918706.2064719497,962543.5830050489,1006380.9595374335,1050218.336069197,1094055.7126004,1137893.0891311099,1181730.4656613762,1225567.842191244,1269405.2187207516,1313242.5952499402,1357079.971778833,1400917.348307457,1444754.7248358473,1488592.1013639986,1532429.477891952,1576266.8544197178,1620104.2309473143,1663941.6074747432,1707778.984002028,1751616.3605291706,1795453.7370561874,1839291.1135830919,1883128.4901098767,1926965.8666365624,1970803.2431631498,2014640.6196896476,2058477.9962160608,2102315.3727423954,2146152.7492686505,2189990.125794841,2233827.502320976,2277664.8788470216,2321502.2553730193,2365339.6318989657,2409177.0084248506,2453014.384950691
8,304982.936973753,348820.31406226015,392657.69115076546,436495.0682392618,480332.4453277705,524169.82241627824,568007.1995047854,611844.5765932918,655681.9536817987,699519.3307703058,743356.7078588138,787194.0849473212,831031.462035828,874868.8391243332,918706.2162128413,962543.5933013483,1006380.970389852,1050218.3474783273,1094055.7245668354,1137893.101655344,1181730.478743854,1225567.855832362,1269405.2329208704,1313242.6100093771,1357079.987097885,1400917.3641863917,1444754.741274903,1488592.1183634086,1532429.4954519162,1576266.8725404232,1620104.2496289334,1663941.626717437,1707779.0038059424,1751616.3808944495,1795453.7579829518,1839291.1350714632,1883128.5121599704,1926965.889248478,1970803.2663369812,2014640.6434254916,2058478.020513996,2102315.397602504,2146152.7746910094,2189990.151779519,2233827.528868026,2277664.9059565323,2321502.2830450404,2365339.6601335495,2409177.0372220525,2453014.4143105582
9,304982.8649399551,348820.2281761586,392657.59130985884,436494.9543700737,480332.31737579603,524169.68034000404,568007.0432718656,611844.4061779924,655681.7690634346,699519.1319318635,743356.4947861738,787193.8576286614,831031.2204611728,874868.5832851233,918705.9461017115,962543.3089119192,1006380.6717165567,1050218.03451631,1094055.397311745,1137892.760103361,1181730.1228915516,1225567.4856766423,1269404.8484590973,1313242.211239024,1357079.5740167156,1400916.9367923874,1444754.2995661807,1488591.6623382934,1532429.0251088617,1576266.3878779984,1620103.750645852,1663941.1134124051,1707778.4761780044,1751615.8389425124,1795453.2017061652,1839290.564468671,1883127.9272304852,1926965.2899915292,1970802.652751846,2014640.015511496,2058477.378270506,2102314.7410289263,2146152.103786787,2189989.466544127,2233826.8293009703,2277664.192057366,2321501.5548132868,2365338.917568812,2409176.2803239375,2453013.643078591
10,304982.9369364175,348820.3140315645,392657.6911251434,436495.06806562317,480332.44517906936,524169.82228758617,568007.1993923701,611844.5764942818,655681.9535939546,699519.3306918535,743356.7077883356,787194.0848836668,831031.4619780581,874868.8390716723,918706.2161646442,962543.5932570721,1006380.9703490399,1050218.3470249404,1094055.7241463452,1137893.1012643052,1181730.4783792868,1225567.8554916724,1269405.232601794,1313242.6097099243,1357079.9868163038,1400917.3639211329,1444754.7410245875,1488592.1181268122,1532429.4952279425,1576266.8723280933,1620104.2494273616,1663941.626525828,1707779.0036235766,1751616.3807206727,1795453.757817176,1839291.1349131453,1883128.5120086202,1926965.8891036464,1970803.2661982575,2014640.6432924967,2058478.0203863827,2102315.397479955,2146152.7745732265,2189990.151666232,2233827.5287589827,2277664.905851497,2321502.2829437954,2365339.6600358966,2409177.037127804,2453014.414219538
11,304982.93697371625,348820.3140622276,392657.69115073665,436495.06823905534,480332.4453275867,524169.8224161138,568007.1995046383,611844.5765931589,655681.9536816792,699519.3307701962,743356.7078587145,787194.0849472303,831031.4620357445,874868.8391242564,918706.2162127703,962543.5933012828,1006380.9703897912,1050218.3474776435,1094055.7245661973,1137893.1016547466,1181730.4787432943,1225567.8558318361,1269405.232920375,1313242.6100089098,1357079.9870974447,1400917.3641859756,1444754.7412745093,1488592.1183630335,1532429.4954515588,1576266.8725400842,1620104.249628612,1663941.6267171316,1707779.003805652,1751616.3808941701,1795453.7579826845,1839291.1350712073,1883128.5121597247,1926965.889248242,1970803.266336755,2014640.643425275,2058478.0205137872,2102315.3976023053,2146152.7746908157,2189990.151779333,2233827.5288678473,2277664.9059563596,2321502.2830448733,2365339.6601333874,2409177.037221898,2453014.41431041
12,304982.9374772478,348819.9119981054,392657.68943709036,436495.06292463,480332.4350049227,524169.8060265676,568007.1762318229,611844.5457942664,655681.9148415447,699519.2834695986,743356.651751944,787194.0197457897,831031.3874966202,874868.7550405158,918706.1224069532,962543.48962,1006380.8566995026,1050218.22366231,1094055.590522141,1137892.957290966,1181730.3239786811,1225567.6905941116,1269405.0571446538,1313242.423636772,1357079.7900761066,1400917.1564675837,1444754.5228157141,1488591.8891238193,1532429.2553957899,1576266.6216343248,1620103.9878425796,1663941.3540225006,1707778.720176397,1751616.0863062202,1795453.4524137983,1839290.8185005125,1883128.1845680014,1926965.5506175258,1970802.9166502687,2014640.2826672602,2058477.6486697032,2102315.01465836,2146152.380633983,2189989.746597508,2233827.112549641,2277664.4784912406,2321501.8444219986,2365339.2103435122,2409176.5762559385,2453013.9421597635
13,304982.93123216904,348820.3079449129,392657.6846411929,436495.06132617005,480332.4380030519,524169.8146739431,568007.1913402736,611844.5680030533,655681.9446630199,699519.3213207142,743356.6979765509,787194.0746308455,831031.4512838507,874868.8279357614,918706.2045867429,962543.5812369206,1006380.957886401,1050218.3345352788,1094055.7111836234,1137893.0878314972,1181730.4644789572,1225567.841126044,1269405.2177728028,1313242.5944192586,1357079.9710654502,1400917.3477113938,1444754.724357125,1488592.1010026478,1532429.4776479893,1576266.8542931639,1620104.2309381876,1663941.6075830627,1707778.9842278073,1751616.360872435,1795453.7375169466,1839291.114161361,1883128.4908056764,1926965.867449902,1970803.2440940414,2014640.6207381089,2058477.9973820958,2102315.374026022,2146152.7506698794,2189990.127313678,2233827.503957421,2277664.880601107,2321502.257244745,2365339.6338883387,2409177.0105318786,2453014.387175374
14,304982.89332591655,348820.26570944826,392657.63807335903,436495.010423441,480332.38276340725,524169.7550957539,568007.1274222202,611844.4997440497,655681.872062166,699519.2443772574,743356.6166898553,787193.9890003703,831031.3613091285,874868.733616395,918706.105922382,962543.4782272581,1006380.850531169,1050218.2228342402,1094055.5951365647,1137892.967438234,1181730.339739319,1225567.7120398816,1269405.0843399726,1313242.4566396342,1357079.8289389322,1400917.2012378743,1444754.573536508,1488591.9458348493,1532429.3181329307,1576266.6904307713,1620104.062728393,1663941.4350258016,1707778.8073230314,1751616.179620086,1795453.5519169988,1839290.9242137244,1883128.2965103285,1926965.6688068016,1970803.0411031535,2014640.4133993958,2058477.785695524,2102315.1579915644,2146152.5302875047,2189989.9025833607,2233827.2748791333,2277664.6471748566,2321502.019470448,2365339.391765999,2409176.7640614756,2453014.136356904
15,304982.8957911781,348820.1929354766,392657.556673655,436494.92041026545,480332.2841455481,524169.6478796839,568007.0116128726,611844.3753452619,655681.7390769769,699519.1028081194,743356.4665387749,787193.8302690065,831031.1939988747,874868.5577284248,918705.9214577007,962543.285186736,1006380.6489155407,1050218.0126441645,1094055.3763726105,1137892.7401009158,1181730.1038290788,1225567.4675571283,1269404.8312850432,1313242.1950128658,1357079.5587405981,1400916.9224682276,1444754.2861958197,1488591.6499233164,1532429.0136507496,1576266.3773781236,1620103.741105445,1663941.1048327107,1707778.4685599278,1751615.8322871025,1795453.196014233,1839290.5597413327,1883127.9234683916,1926965.2871954308,1970802.6509224104,2014640.01464938,2058477.3783763149,2102314.742103229,2146152.105830114,2189989.4695569742,2233826.8332838225,2277664.197010645,2321501.5607374464,2365338.924464234,2409176.288191,2453013.651917757
16,304982.93695822335,348820.3140481816,392657.69113808597,436495.0681480268,480332.44524568727,524169.8223423799,568007.1994379547,611844.5765326559,655681.9536265994,699519.330719888,743356.7078126133,787194.0849048528,831031.4619966742,874868.8390881331,918706.2161792829,962543.5932701594,1006380.9703607962,1050218.3471524436,1094055.724261882,1137893.1013693998,1181730.4784752214,1225567.8555795394,1269405.2326825173,1313242.6097843477,1357079.9868850203,1400917.3639847788,1444754.741083682,1488592.1181818028,1532429.4952792248,1576266.8723760105,1620104.2494722237,1663941.626567905,1707779.0036631108,1751616.3807578757,1795453.7578522402,1839291.1349462431,1883128.5120399077,1926965.8891332604,1970803.266226325,2014640.6433191313,2058478.0204116863,2102315.3975040214,2146152.77459614,2189990.1516880705,2233827.52877982,2277664.9058713973,2321502.282962819,2365339.660054097,2409177.0371452305,2453014.414236241
17,304982.9369736933,348820.31406220415,392657.6911507139,436495.06823888444,480332.4453274262,524169.8224159635,568007.1995044983,611844.5765930288,655681.9536815574,699519.3307700844,743356.7078586092,787194.0849471317,831031.4620356521,874868.8391241705,918706.21621269,962543.5933012076,1006380.9703897199,1050218.3474768454,1094055.724565444,1137893.1016540371,1181730.4787426228,1225567.855831201,1269405.2329197745,1313242.6100083399,1357079.9870969036,1400917.364185458,1444754.7412740176,1488592.1183625655,1532429.4954511134,1576266.8725396586,1620104.2496282042,1663941.626716741,1707779.003805276,1751616.380893812,1795453.7579823416,1839291.135070877,1883128.5121594074,1926965.8892479383,1970803.266336462,2014640.6434249913,2058478.0205135148,2102315.3976020426,2146152.774690563,2189990.1517790887,2233827.5288676107,2277664.9059561314,2321502.283044651,2365339.6601331746,2409177.0372216897,2453014.414310208
18,304981.92188752553,348819.07718130795,392656.2290502214,436493.37842770945,480332.4453277801,524169.8224162867,568007.1995047928,611844.5765932979,655681.9536818047,699519.3307703112,743356.7078588187,787194.0849473248,831031.4636122955,874868.8406467463,918706.2176844126,962543.5947250696,1006380.9717685012,1050218.347478357,1094055.724566863,1137893.1016553703,1181730.4787438787,1225567.855832385,1269405.2329208911,1313242.6100093967,1357079.9870979057,1400917.3641864085,1444754.7412749196,1488592.1183634237,1532429.4954519304,1576266.872540437,1620104.2496289467,1663941.6267174515,1707779.003805954,1751616.3808944593,1795453.757982963,1839291.1350714725,1883128.5121599813,1926965.889248486,1970803.2663369905,2014640.6434255007,2058478.0205140037,2102315.397602514,2146152.7746910164,2189990.151779525,2233827.5331914485,2277664.9102066527,2321502.287224278,2365339.664244213,2409177.041266333,2453014.4182905518
