,,0
exist,MPSP [$/gal],1.71186655511552
exist,GWP [kg CO2/gal],3.718622967070542
exist,MPSP no WWT [$/gal],1.3800986540842473
exist,Total CAPEX [MM$],29.31745621804027
exist,WWT CAPEX [MM$],0.0
exist,WWT CAPEX frac,0.0
exist,Total input GWP [kg CO2/gal],3.7186229051276807
exist,WWT input GWP [kg CO2/gal],0.0
exist,WWT input GWP frac,0.0
exist,Annual net electricity [MWh/yr],16407.941423879984
exist,Annual electricity consumption [MWh/yr],16407.941423879984
exist,WWT annual electricity consumption [MWh/yr],0.0
exist,WWT annual electricity consumption frac,0.0
exist,Total electricity GWP [kg CO2/gal],0.027349262174945783
exist,WWT electricity GWP [kg CO2/gal],0.0
exist,Mixer-WWmixer installed cost [MM$],0.0
exist,Mixer-WWmixer annual electricity consumption [MWh/yr],0.0
exist,Mixer-SolidsMixer installed cost [MM$],0.0
exist,Mixer-SolidsMixer annual electricity consumption [MWh/yr],0.0
exist,Skipped-U701 installed cost [MM$],0.0
exist,Skipped-U701 annual electricity consumption [MWh/yr],0.0
exist,corn impact [kg CO2/gal],0.0
exist,ammonia impact [kg CO2/gal],0.0
exist,natural_gas impact [kg CO2/gal],0.0
exist,lime impact [kg CO2/gal],0.0
exist,alpha_amylase impact [kg CO2/gal],0.0
exist,gluco_amylase impact [kg CO2/gal],0.0
exist,sulfuric_acid impact [kg CO2/gal],0.0
exist,yeast impact [kg CO2/gal],0.0
exist,s83 impact [kg CO2/gal],0.0
exist,denaturant impact [kg CO2/gal],0.0
exist,Clear cache,0.0
new,MPSP [$/gal],1.402055570727316
new,GWP [kg CO2/gal],3.0237538062066496
new,MPSP no WWT [$/gal],1.3740454124901278
new,GWP no WWT [kg CO2/gal],2.9987120138985794
new,WW price [¢/kg],0.168854593557573
new,COD price per kg [¢/kg],20.933253650121305
new,COD price per ton [$/ton],189.90327432609203
new,COD in [mg/L],7776.829476977717
new,COD out [mg/L],2.7507309085617715
new,COD removal,0.9996462914717745
new,COD load [kg/hr],704.2575082580972
new,Total CAPEX [MM$],35.78583905917798
new,WWT CAPEX [MM$],5.43079165359256
new,WWT CAPEX frac,0.15175811987003632
new,Total input GWP [kg CO2/gal],3.0244270212099984
new,WWT input GWP [kg CO2/gal],0.003155540040443754
new,WWT input GWP frac,0.0010433513582289384
new,Annual net electricity [MWh/yr],11854.048948123169
new,Annual electricity consumption [MWh/yr],18562.393605557747
new,WWT annual electricity consumption [MWh/yr],2154.452181677765
new,WWT annual electricity consumption frac,0.11606542924683501
new,Total electricity GWP [kg CO2/gal],0.01610177336885513
new,WWT electricity GWP [kg CO2/gal],0.0029264684931896933
new,Mixer-M701 installed cost [MM$],0.0
new,Mixer-M701 annual electricity consumption [MWh/yr],0.0
new,InternalCirculationRx-R701 installed cost [MM$],0.8521264347183649
new,InternalCirculationRx-R701 annual electricity consumption [MWh/yr],130.22244961051283
new,AnMBR-R702 installed cost [MM$],0.6360115681524398
new,AnMBR-R702 annual electricity consumption [MWh/yr],158.82764342887717
new,Skipped-R703 installed cost [MM$],0.0
new,Skipped-R703 annual electricity consumption [MWh/yr],0.0
new,Splitter-S701 installed cost [MM$],0.0
new,Splitter-S701 annual electricity consumption [MWh/yr],0.0
new,Mixer-M703 installed cost [MM$],0.0
new,Mixer-M703 annual electricity consumption [MWh/yr],0.0
new,BeltThickener-S702 installed cost [MM$],0.03762224647955815
new,BeltThickener-S702 annual electricity consumption [MWh/yr],10.904773445848859
new,SludgeCentrifuge-S703 installed cost [MM$],0.05757300351101351
new,SludgeCentrifuge-S703 annual electricity consumption [MWh/yr],2.312503160157404
new,ReverseOsmosis-S704 installed cost [MM$],3.7475980741896016
new,ReverseOsmosis-S704 annual electricity consumption [MWh/yr],1708.74508581585
new,Skipped-U701 installed cost [MM$],0.0
new,Skipped-U701 annual electricity consumption [MWh/yr],0.0
new,Mixer-M702 installed cost [MM$],0.0
new,Mixer-M702 annual electricity consumption [MWh/yr],0.0
new,Pump-R701_eff installed cost [MM$],0.023835759194311853
new,Pump-R701_eff annual electricity consumption [MWh/yr],128.0028293046086
new,Pump-R701_sludge installed cost [MM$],0.015268252793954296
new,Pump-R701_sludge annual electricity consumption [MWh/yr],2.2196203059042325
new,Pump-S702_eff installed cost [MM$],0.015556817680225082
new,Pump-S702_eff annual electricity consumption [MWh/yr],8.592270285691455
new,Pump-S702_sludge installed cost [MM$],0.015265428799333063
new,Pump-S702_sludge annual electricity consumption [MWh/yr],2.312503160157404
new,Pump-S703_eff installed cost [MM$],0.015060210260101703
new,Pump-S703_eff annual electricity consumption [MWh/yr],1.8700945992267963
new,Pump-S703_sludge installed cost [MM$],0.014873857813655656
new,Pump-S703_sludge annual electricity consumption [MWh/yr],0.4424085609306078
new,naocl_R702 impact [kg CO2/gal],0.0
new,citric_R702 impact [kg CO2/gal],0.0
new,s170 impact [kg CO2/gal],0.0
new,bisulfite_R702 impact [kg CO2/gal],0.0
new,corn impact [kg CO2/gal],0.0
new,ammonia impact [kg CO2/gal],0.0
new,lime impact [kg CO2/gal],0.0
new,alpha_amylase impact [kg CO2/gal],0.0
new,gluco_amylase impact [kg CO2/gal],0.0
new,sulfuric_acid impact [kg CO2/gal],0.0
new,yeast impact [kg CO2/gal],0.0
new,denaturant impact [kg CO2/gal],0.0
new,natural_gas impact [kg CO2/gal],0.0
new,Clear cache,0.0
new,WWT produced energy [MWh/yr],7204.336296125339
new,WWT ECR,0.29904936320594583
