,,0
exist,MPSP [$/gal],1.474423008518943
exist,Product GWP disp [kg CO2/gal],2.9421917565003537
exist,Product GWP econ [kg CO2/gal],3.7768777133114257
exist,MPSP_no WWT [$/gal],1.4252195620711543
exist,Total CAPEX [MM$],29.39168117750951
exist,WWT CAPEX [MM$],0.0
exist,WWT CAPEX frac,0.0
exist,Annual net electricity [MWh/yr],16427.324710233544
exist,Annual electricity consumption [MWh/yr],16427.324710233544
exist,WWT annual electricity consumption [MWh/yr],0.0
exist,WWT annual electricity consumption frac,0.0
exist,WWT produced energy [MWh/yr],0.0
exist,WWT ECR,0.0
exist,Clear cache,
new,MPSP [$/gal],1.4471740568156752
new,Product GWP disp [kg CO2/gal],2.6613034908077973
new,Product GWP econ [kg CO2/gal],3.7203849224425816
new,MPSP_RIN [$/gal],1.4220902972090588
new,Product GWP disp_RIN [kg CO2/gal],2.6547491739875504
new,Product GWP econ_RIN [kg CO2/gal],3.6933809967844446
new,MPSP_no WWT [$/gal],1.4252742664658857
new,Product GWP disp_no WWT [kg CO2/gal],2.7147373638957806
new,Product GWP econ_no WWT [kg CO2/gal],3.7525539575721503
new,CO2 cost net [$/tonne CO2],-3827.0593708759643
new,CO2 cost total [$/tonne CO2],292.4054421695642
new,Product yield [gal/yr],41684811.40656485
new,Net GWP [kg CO2/yr],110935934.10995571
new,Total GWP [kg CO2/yr],191796133.9771594
new,Product ratio,0.8085853485989187
new,Electricity ratio,0.0
new,Net GWP_RIN [kg CO2/yr],110662718.64940484
new,Total GWP_RIN [kg CO2/yr],195372031.13150537
new,Product ratio_RIN,0.7880242090533452
new,Electricity ratio_RIN,0.0
new,RNG yield_RIN [kg/yr],1228487.108251563
new,RNG ratio_RIN,0.022138090754253506
new,RNG CF econ_RIN [kg CO2/kg],3.5207237641979576
new,Total GWP_no WWT [kg CO2/yr],194023514.8995543
new,Product ratio_no WWT,0.8062141544819159
new,Electricity ratio_no WWT,0.0
new,WW price [¢/kg],0.13202228753761835
new,WW GWP disp [g CO2/kg],-3.2212464340498697
new,WW GWP econ [g CO2/kg],-1.9393014900365169
new,COD price [$/tonne],163.9186087558122
new,COD GWP disp [kg CO2/tonne],-399.94931445088116
new,COD GWP econ [kg CO2/tonne],-240.78328601470466
new,COD in [mg/L],7777.007541917569
new,COD out [mg/L],15.759521411608413
new,COD removal,0.9979735751409954
new,COD annual load [tonne/yr],5569.1579955651
new,Total CAPEX [MM$],35.861698509612175
new,WWT CAPEX [MM$],5.427749132854864
new,WWT CAPEX frac,0.15135226044578007
new,Annual net electricity [MWh/yr],11849.952648535183
new,Annual electricity consumption [MWh/yr],18580.108536024673
new,WWT annual electricity consumption [MWh/yr],2152.7838161535783
new,WWT annual electricity consumption frac,0.1158649752760906
new,WWT produced energy [MWh/yr],7250.43703249537
new,WWT ECR,0.2969178004725956
new,Clear cache,
