,,0
exist,MPSP [$/gal],2.205560332274314
exist,GWP [kg CO2/gal],2.2159071475452605
exist,COD in [mg/L],53407.97633210547
exist,COD out [mg/L],31.890740021202333
exist,COD load [kg/hr],26693.816445196884
exist,COD removal,0.9994028843215684
exist,Total CAPEX [MM$],216.81861591634143
exist,WWT CAPEX [MM$],55.63901508941516
exist,WWT CAPEX frac,0.25661548873129625
exist,Total input GWP [kg CO2/gal],2.3928370100168683
exist,WWT input GWP [kg CO2/gal],0.8198541818627466
exist,WWT input GWP frac,0.3426285110229748
exist,Annual net electricity [MWh/yr],-191298.99103572982
exist,Annual electricity consumption [MWh/yr],207145.49341996366
exist,WWT annual electricity consumption [MWh/yr],73276.56378020567
exist,WWT annual electricity consumption frac,0.35374442654007376
exist,Total electricity GWP [kg CO2/gal],-0.17692986247163478
exist,WWT electricity GWP [kg CO2/gal],0.06777250774733184
exist,Mixer-M601 installed cost [MM$],0.0
exist,Mixer-M601 annual electricity consumption [MWh/yr],0.0
exist,WastewaterSystemCost-WWTC installed cost [MM$],55.63901508941516
exist,WastewaterSystemCost-WWTC annual electricity consumption [MWh/yr],73276.56378020567
exist,AnaerobicDigestion-R601 installed cost [MM$],0.0
exist,AnaerobicDigestion-R601 annual electricity consumption [MWh/yr],0.0
exist,Mixer-M602 installed cost [MM$],0.0
exist,Mixer-M602 annual electricity consumption [MWh/yr],0.0
exist,AerobicDigestion-R602 installed cost [MM$],0.0
exist,AerobicDigestion-R602 annual electricity consumption [MWh/yr],0.0
exist,MembraneBioreactor-S601 installed cost [MM$],0.0
exist,MembraneBioreactor-S601 annual electricity consumption [MWh/yr],0.0
exist,Splitter-S602 installed cost [MM$],0.0
exist,Splitter-S602 annual electricity consumption [MWh/yr],0.0
exist,Mixer-M603 installed cost [MM$],0.0
exist,Mixer-M603 annual electricity consumption [MWh/yr],0.0
exist,SludgeCentrifuge-S603 installed cost [MM$],0.0
exist,SludgeCentrifuge-S603 annual electricity consumption [MWh/yr],0.0
exist,ReverseOsmosis-S604 installed cost [MM$],0.0
exist,ReverseOsmosis-S604 annual electricity consumption [MWh/yr],0.0
exist,Skipped-Caching installed cost [MM$],0.0
exist,Skipped-Caching annual electricity consumption [MWh/yr],0.0
exist,natural_gas impact [kg CO2/gal],0.29371865272763187
exist,FGD_lime impact [kg CO2/gal],0.29371865272763187
exist,caustic impact [kg CO2/gal],0.29371865272763187
exist,sulfuric_acid impact [kg CO2/gal],0.29371865272763187
exist,ammonia impact [kg CO2/gal],0.29371865272763187
exist,cornstover impact [kg CO2/gal],0.29371865272763187
exist,denaturant impact [kg CO2/gal],0.29371865272763187
exist,cellulase impact [kg CO2/gal],0.29371865272763187
exist,DAP impact [kg CO2/gal],0.29371865272763187
exist,CSL impact [kg CO2/gal],0.29371865272763187
exist,WWT produced energy [MWh/yr],496759.3423923721
exist,WWT ECR,0.1475091810600055
exist,Clear cache,0.0
new,MPSP [$/gal],2.0007648540341245
new,GWP [kg CO2/gal],1.4033617881563212
new,MPSP no WWT [$/gal],2.0673261718364757
new,GWP no WWT [kg CO2/gal],2.6756142606924884
new,WW price [¢/kg],-0.09635895400301654
new,COD price per kg [¢/kg],-1.8339334309275879
new,COD price per ton [$/ton],-16.637163493560145
new,WW GWP [g CO2/kg],-18.418042419978413
new,COD GWP per kg [g CO2/kg],-35.05378828124623
new,COD GWP per ton [kg CO2/ton],-318.0026040578588
new,COD in [mg/L],52959.96938135662
new,COD out [mg/L],35.089537676190076
new,COD removal,0.9993374328179173
new,COD load [kg/hr],26691.35204198345
new,MPSP w RIN [$/gal],1.39294951584967
new,GWP w RIN [kg CO2/gal],0.4110964083057806
new,Total CAPEX [MM$],200.12181603614545
new,WWT CAPEX [MM$],37.92211786044837
new,WWT CAPEX frac,0.18949517154890788
new,Total input GWP [kg CO2/gal],1.6506835109929268
new,WWT input GWP [kg CO2/gal],0.013351226111767528
new,WWT input GWP frac,0.008088301617392686
new,Annual net electricity [MWh/yr],-267410.667165525
new,Annual electricity consumption [MWh/yr],147988.01009274423
new,WWT annual electricity consumption [MWh/yr],13146.631811902003
new,WWT annual electricity consumption frac,0.08883579016748043
new,Total electricity GWP [kg CO2/gal],-0.2473245274785981
new,WWT electricity GWP [kg CO2/gal],0.01215914284676283
new,Mixer-M601 installed cost [MM$],0.0
new,Mixer-M601 annual electricity consumption [MWh/yr],0.0
new,InternalCirculationRx-R601 installed cost [MM$],12.880428169611283
new,InternalCirculationRx-R601 annual electricity consumption [MWh/yr],629.0071813876641
new,AnMBR-R602 installed cost [MM$],1.6516776804667548
new,AnMBR-R602 annual electricity consumption [MWh/yr],536.4710472708463
new,PolishingFilter-R603 installed cost [MM$],10.82943798662748
new,PolishingFilter-R603 annual electricity consumption [MWh/yr],108.94651670616386
new,Splitter-S601 installed cost [MM$],0.0
new,Splitter-S601 annual electricity consumption [MWh/yr],0.0
new,Mixer-M603 installed cost [MM$],0.0
new,Mixer-M603 annual electricity consumption [MWh/yr],0.0
new,BeltThickener-S602 installed cost [MM$],0.058950693325323135
new,BeltThickener-S602 annual electricity consumption [MWh/yr],284.24962494281255
new,SludgeCentrifuge-S603 installed cost [MM$],0.21800413891755582
new,SludgeCentrifuge-S603 annual electricity consumption [MWh/yr],139.6262786161788
new,Mixer-M602 installed cost [MM$],0.0
new,Mixer-M602 annual electricity consumption [MWh/yr],0.0
new,BiogasUpgrading-Upgrading installed cost [MM$],0.0
new,BiogasUpgrading-Upgrading annual electricity consumption [MWh/yr],0.0
new,ReverseOsmosis-S604 installed cost [MM$],12.127000175060818
new,ReverseOsmosis-S604 annual electricity consumption [MWh/yr],10395.448078031684
new,Skipped-Caching installed cost [MM$],0.0
new,Skipped-Caching annual electricity consumption [MWh/yr],0.0
new,Pump-R601_eff installed cost [MM$],0.06173426799927232
new,Pump-R601_eff annual electricity consumption [MWh/yr],616.1038161356933
new,Pump-R601_sludge installed cost [MM$],0.014515557399573567
new,Pump-R601_sludge annual electricity consumption [MWh/yr],12.903365251970996
new,Pump-S602_eff installed cost [MM$],0.023735955858665107
new,Pump-S602_eff annual electricity consumption [MWh/yr],156.87367133318037
new,Pump-S602_sludge installed cost [MM$],0.021614737466658027
new,Pump-S602_sludge annual electricity consumption [MWh/yr],127.37595360963219
new,Pump-S603_eff installed cost [MM$],0.020369102870418508
new,Pump-S603_eff annual electricity consumption [MWh/yr],114.25037803805243
new,Pump-S603_sludge installed cost [MM$],0.014649394844558569
new,Pump-S603_sludge annual electricity consumption [MWh/yr],25.375900578126362
new,naocl_R602 impact [kg CO2/gal],0.22357399370139117
new,cellulase impact [kg CO2/gal],0.22357399370139117
new,citric_R602 impact [kg CO2/gal],0.22357399370139117
new,bisulfite_R602 impact [kg CO2/gal],0.22357399370139117
new,DAP impact [kg CO2/gal],0.22357399370139117
new,CSL impact [kg CO2/gal],0.22357399370139117
new,cornstover impact [kg CO2/gal],0.22357399370139117
new,denaturant impact [kg CO2/gal],0.22357399370139117
new,natural_gas impact [kg CO2/gal],0.22357399370139117
new,FGD_lime impact [kg CO2/gal],0.22357399370139117
new,sulfuric_acid impact [kg CO2/gal],0.22357399370139117
new,ammonia impact [kg CO2/gal],0.22357399370139117
new,WWT produced energy [MWh/yr],611565.2193517969
new,WWT ECR,0.021496696339004088
new,Clear cache,0.0
