,,0
exist,MPSP [$/kg],1.4137969276593436
exist,GWP [kg CO2/kg],4.036589112699353
exist,COD in [mg/L],88424.53787249736
exist,COD out [mg/L],53.894288751609814
exist,COD load [kg/hr],34601.645396482265
exist,COD removal,0.9993905052822631
exist,Total CAPEX [MM$],286.42320200591
exist,WWT CAPEX [MM$],42.06839367327887
exist,WWT CAPEX frac,0.14687495069764225
exist,Total input GWP [kg CO2/kg],4.036605936691459
exist,WWT input GWP [kg CO2/kg],0.19066268062199804
exist,WWT input GWP frac,0.04723341431199295
exist,Annual net electricity [MWh/yr],300268.4768107142
exist,Annual electricity consumption [MWh/yr],300268.4768107142
exist,WWT annual electricity consumption [MWh/yr],76535.17324609088
exist,WWT annual electricity consumption frac,0.2548891380773806
exist,Total electricity GWP [kg CO2/kg],0.09766311713626863
exist,WWT electricity GWP [kg CO2/kg],0.02489326774881377
exist,Mixer-M501 installed cost [MM$],0.0
exist,Mixer-M501 annual electricity consumption [MWh/yr],0.0
exist,AnaerobicDigestion-R501 installed cost [MM$],10.952142957893226
exist,AnaerobicDigestion-R501 annual electricity consumption [MWh/yr],4136.088926819301
exist,AerobicDigestion-R502 installed cost [MM$],12.22621672885177
exist,AerobicDigestion-R502 annual electricity consumption [MWh/yr],57886.57739416026
exist,MembraneBioreactor-S501 installed cost [MM$],5.989066077938364
exist,MembraneBioreactor-S501 annual electricity consumption [MWh/yr],5213.203877897526
exist,Splitter-S502 installed cost [MM$],0.0
exist,Splitter-S502 annual electricity consumption [MWh/yr],0.0
exist,BeltThickener-S503 installed cost [MM$],1.160457645356138
exist,BeltThickener-S503 annual electricity consumption [MWh/yr],910.0844942399999
exist,SludgeCentrifuge-S504 installed cost [MM$],1.7932551993688404
exist,SludgeCentrifuge-S504 annual electricity consumption [MWh/yr],1232.4060859499998
exist,Mixer-M502 installed cost [MM$],0.0
exist,Mixer-M502 annual electricity consumption [MWh/yr],0.0
exist,ReverseOsmosis-S505 installed cost [MM$],9.947255063870532
exist,ReverseOsmosis-S505 annual electricity consumption [MWh/yr],7156.812467023794
exist,Skipped-Caching installed cost [MM$],0.0
exist,Skipped-Caching annual electricity consumption [MWh/yr],0.0
exist,sulfuric_acid impact [kg CO2/kg],0.0
exist,ammonia impact [kg CO2/kg],0.0
exist,CSL impact [kg CO2/kg],0.0
exist,lime impact [kg CO2/kg],0.0
exist,ethanol impact [kg CO2/kg],0.0
exist,lime_CHP impact [kg CO2/kg],0.0
exist,feedstock impact [kg CO2/kg],0.0
exist,natural_gas impact [kg CO2/kg],0.0
exist,caustic_R502 impact [kg CO2/kg],0.0
exist,polymer_R502 impact [kg CO2/kg],0.0
exist,enzyme_M301 impact [kg CO2/kg],0.0
exist,WWT produced energy [MWh/yr],1281417.9340950863
exist,WWT ECR,0.05972694092200185
exist,Clear cache,0.0
new,MPSP [$/kg],1.3418324469292637
new,GWP [kg CO2/kg],3.840537065239872
new,MPSP no WWT [$/kg],1.413967030381258
new,GWP no WWT [kg CO2/kg],5.593700101214525
new,WW price [¢/kg],-0.49550849649220385
new,COD price per kg [¢/kg],-5.737396275914562
new,COD price per ton [$/ton],-52.048781193466695
new,WW GWP [g CO2/kg],-120.42866798276252
new,COD GWP per kg [g CO2/kg],-139.44200676456492
new,COD GWP per ton [kg CO2/ton],-1264.9965507410982
new,COD in [mg/L],88424.5378724973
new,COD out [mg/L],60.72738893987334
new,COD removal,0.9993132292189365
new,COD load [kg/hr],34599.16258907376
new,MPSP w RIN [$/kg],1.1212911182602308
