,,0
exist,MPSP [$/gal],2.266923546837796
exist,GWP [kg CO2/gal],1.620779907768559
exist,MPSP no WWT [$/gal],2.180341637191061
exist,Total CAPEX [MM$],133.4833367713222
exist,WWT CAPEX [MM$],0.0
exist,WWT CAPEX frac,0.0
exist,Total input GWP [kg CO2/gal],1.8710732405276043
exist,WWT input GWP [kg CO2/gal],0.0
exist,WWT input GWP frac,0.0
exist,Annual net electricity [MWh/yr],-313244.7521625446
exist,Annual electricity consumption [MWh/yr],42229.60967505881
exist,WWT annual electricity consumption [MWh/yr],0.0
exist,WWT annual electricity consumption frac,0.0
exist,Total electricity GWP [kg CO2/gal],-0.577838316922297
exist,WWT electricity GWP [kg CO2/gal],0.0
exist,WWT produced energy [MWh/yr],0.0
exist,WWT ECR,0.0
exist,Clear cache,0.0
new,MPSP [$/gal],2.2594263988722156
new,GWP [kg CO2/gal],1.2281542699959744
new,MPSP w RIN [$/gal],2.2227424824642474
new,GWP w RIN [kg CO2/gal],1.1112499706461538
new,MPSP no WWT [$/gal],2.1848392122758487
new,GWP no WWT [kg CO2/gal],1.2835374998513458
new,WW price [¢/kg],0.24751289533520163
new,WW GWP [g CO2/kg],-1.8378577072091729
new,COD price [$/tonne],314.507213018038
new,COD GWP [kg CO2/tonne],-233.5310669915918
new,COD in [mg/L],7707.764745633773
new,COD out [mg/L],2.8617389813534633
new,COD removal,0.9996287199887652
new,COD annual load [tonne/yr],6692.828877707148
new,Total CAPEX [MM$],143.91027600883072
new,WWT CAPEX [MM$],8.940747437727616
new,WWT CAPEX frac,0.06212723431354538
new,Total input GWP [kg CO2/gal],1.8042202970889503
new,WWT input GWP [kg CO2/gal],0.004979873594925012
new,WWT input GWP frac,0.0027601250262841376
new,Annual net electricity [MWh/yr],-323552.51475875115
new,Annual electricity consumption [MWh/yr],45395.26799503137
new,WWT annual electricity consumption [MWh/yr],2538.540112458418
new,WWT annual electricity consumption frac,0.05592080903093838
new,Total electricity GWP [kg CO2/gal],-0.5753790084035761
new,WWT electricity GWP [kg CO2/gal],0.004514329594341445
new,WWT produced energy [MWh/yr],18261.805668343786
new,WWT ECR,0.1390081659262693
new,Clear cache,0.0
