,,0
exist,MPSP [$/gal],2.2358807737354933
exist,GWP [kg CO2/gal],1.8814267913704064
exist,MPSP no WWT [$/gal],2.158075861389769
exist,Total CAPEX [MM$],113.55762178980211
exist,WWT CAPEX [MM$],0.0
exist,WWT CAPEX frac,0.0
exist,Total input GWP [kg CO2/gal],1.7920730704076806
exist,WWT input GWP [kg CO2/gal],0.0
exist,WWT input GWP frac,0.0
exist,Annual net electricity [MWh/yr],-161781.73830028993
exist,Annual electricity consumption [MWh/yr],42573.87793512742
exist,WWT annual electricity consumption [MWh/yr],0.0
exist,WWT annual electricity consumption frac,0.0
exist,Total electricity GWP [kg CO2/gal],-0.28866871553128737
exist,WWT electricity GWP [kg CO2/gal],0.0
exist,WWT produced energy [MWh/yr],0.0
exist,WWT ECR,0.0
exist,Clear cache,0.0
new,MPSP [$/gal],2.221012469818325
new,GWP [kg CO2/gal],1.4328713017856731
new,MPSP w RIN [$/gal],2.1864193229643805
new,GWP w RIN [kg CO2/gal],1.2926116231884963
new,MPSP no WWT [$/gal],2.162222219630554
new,GWP no WWT [kg CO2/gal],1.4558346763483958
new,WW price [¢/kg],0.28930787305061906
new,WW GWP [g CO2/kg],-1.130021617780049
new,COD price [$/tonne],275.81151424449644
new,COD GWP [kg CO2/tonne],-107.73055369785901
new,COD in [mg/L],10571.679486162715
new,COD out [mg/L],1.5137974166699897
new,COD removal,0.9998568063457985
new,COD annual load [tonne/yr],7987.286474794772
new,Total CAPEX [MM$],123.1795811841648
new,WWT CAPEX [MM$],8.226522476990375
new,WWT CAPEX frac,0.06678479012435484
new,Total input GWP [kg CO2/gal],1.7184773268426348
new,WWT input GWP [kg CO2/gal],0.004266353640257123
new,WWT input GWP frac,0.002482635978733401
new,Annual net electricity [MWh/yr],-166475.69273778252
new,Annual electricity consumption [MWh/yr],45026.19947557482
new,WWT annual electricity consumption [MWh/yr],2256.4279741458017
new,WWT annual electricity consumption frac,0.05011366716326652
new,Total electricity GWP [kg CO2/gal],-0.28477798765291007
new,WWT electricity GWP [kg CO2/gal],0.0038599089584394125
new,WWT produced energy [MWh/yr],21879.710356795575
new,WWT ECR,0.1031287863207468
new,Clear cache,0.0
