,Path,N_calls,Mean_time_per_call [s],Cumulative_time [s]
get_MEK_MPSP,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\Bioindustrial-Park\BioSTEAM 2.x.x\biorefineries\BDO\system_MS3.py"", line 187",1,5.6879985,5.6879985
try_method_with_object_stamp,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\thermosteam\thermosteam\exceptions.py"", line 72",361,0.015733447091412743,5.6797744
_converge,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\biosteam\biosteam\_system.py"", line 1327",26,0.1727147153846154,4.490582600000001
_run,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\biosteam\biosteam\units\heat_exchange.py"", line 387",54,0.005059442592592593,0.2732099
run,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\biosteam\biosteam\_unit.py"", line 746",240,0.018693122083333336,4.4863493000000005
converge_system_in_path,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\biosteam\biosteam\_system.py"", line 77",24,0.16681950833333334,4.0036682
_aitken,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\biosteam\biosteam\_system.py"", line 1300",24,0.16681891250000003,4.003653900000001
_solve,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\biosteam\biosteam\_system.py"", line 1304",24,0.16681864166666668,4.0036474
conditional_aitken,"""C:\Users\saran\Anaconda3\envs\bioenv\lib\site-packages\flexsolve\iterative_solvers.py"", line 131",24,0.16681617083333333,4.0035881
_iter_run,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\biosteam\biosteam\_system.py"", line 1179",43,0.09310652093023257,4.003580400000001
__call__,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\thermosteam\thermosteam\equilibrium\dew_point.py"", line 172",35,0.004537408571428572,0.15880930000000001
S402_spec,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\Bioindustrial-Park\BioSTEAM 2.x.x\biorefineries\BDO\separation_systems.py"", line 633",18,0.17920690555555555,3.2257243
IQ_interpolation,"""C:\Users\saran\Anaconda3\envs\bioenv\lib\site-packages\flexsolve\bounded_solvers.py"", line 176",12837,0.000248689771753525,3.1924306000000002
set_PH,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\thermosteam\thermosteam\equilibrium\vle.py"", line 743",278,0.008575175179856115,2.3838987
wegstein,"""C:\Users\saran\Anaconda3\envs\bioenv\lib\site-packages\flexsolve\iterative_solvers.py"", line 52",2958,0.0007539559161595673,2.2302016
_run_counter_current_heat_exchange,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\biosteam\biosteam\units\heat_exchange.py"", line 718",145,0.014805607586206897,2.1468131
counter_current_heat_exchange,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\biosteam\biosteam\units\design_tools\heat_transfer.py"", line 87",145,0.014796215862068965,2.1454513
aitken,"""C:\Users\saran\Anaconda3\envs\bioenv\lib\site-packages\flexsolve\iterative_solvers.py"", line 101",2357,0.000760041960118795,1.7914189
_solve_v,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\thermosteam\thermosteam\equilibrium\vle.py"", line 917",1675,0.000987554208955224,1.6541533000000002
simulate_multi_stage_lle_without_side_draws,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\thermosteam\thermosteam\separations.py"", line 1061",18,0.08973800000000001,1.6152840000000002
S402_f,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\Bioindustrial-Park\BioSTEAM 2.x.x\biorefineries\BDO\separation_systems.py"", line 593",108,0.014895917592592593,1.6087591
_y_iter,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\thermosteam\thermosteam\equilibrium\vle.py"", line 882",1675,0.0009532014925373134,1.5966125
_summary,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\biosteam\biosteam\_unit.py"", line 765",133,0.011915675939849624,1.5847849
_H_hat_err_at_T,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\thermosteam\thermosteam\equilibrium\vle.py"", line 864",1452,0.0010662525482093665,1.5481987000000001
multi_stage_lle_without_side_draws_iter,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\thermosteam\thermosteam\separations.py"", line 1111",144,0.010470974305555556,1.5078203000000001
simulate_unit_in_path,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\biosteam\biosteam\_system.py"", line 85",8,0.186534375,1.492275
