,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,-5.770084407233014,-5.723473439777962,-5.692422933129421,-5.671072326046087,-5.655760963763413,-5.6442366554538665,-5.634852017191946,-5.623962780177806,-5.616385438921881,-5.612474975066817,-5.610447930425508,-5.609371765089293,-5.6087856875686555,-5.608321782669023,-5.608134341971493,-5.608023036710591,-5.607955146907486,-5.607912744211191,-5.607885314847039,-5.607867303987405,-5.607855145634829,-5.607846907636002,-5.607841158800028,-5.607837072528682,-5.607834094824341,-5.607831763679982,-5.607825920216982,-5.607824597946873,-5.6078227172075685,-5.607820038493742,-5.607816219227885,-5.6078107947369205,-5.607803063379407,-5.607792053263125,-5.607776374196803,-5.607754079342314,-5.6077222975676335,-5.607676997625077,-5.607612549991472,-5.607520747940484,-5.607389945117703,-5.607203656966433,-5.60693904694071,-5.606561489584692,-5.606024559198175,-5.60525984159473,-5.604165217544107,-5.602609088318729,-5.600408379661374,-5.5973557068850255,-5.5928857122139135,-5.586539583307228,-5.57750558701413,-5.564531493892673,-5.546053398766048,-5.51983456053361,-5.48287511681248,-5.429630632024015,-5.353908018955295,-5.245860592322387
1,-6.152036072091917,-6.105023491542468,-6.073696944153582,-6.052167387659068,-6.036720423904157,-6.025094062039713,-6.015626327785938,-6.004640884350877,-5.9969965475080045,-5.993051454599552,-5.9908597998857545,-5.989767459496676,-5.98917256847426,-5.988841756014054,-5.988652670489159,-5.988540388652623,-5.988471903254549,-5.988429128590582,-5.988401458633291,-5.9883832898007086,-5.98837102481518,-5.988362714566961,-5.988356915315933,-5.988352793211078,-5.988349789395954,-5.988347437813772,-5.988341543058695,-5.98834020909085,-5.988338311801769,-5.988335609516582,-5.988331756642964,-5.988326284418889,-5.988318485029183,-5.988307378029219,-5.988291560994966,-5.988269069956857,-5.988237008519604,-5.988191309963398,-5.988126295229279,-5.988033685382263,-5.987901731595912,-5.987713804278641,-5.987446865975869,-5.987065986658379,-5.986524332286109,-5.985752887117343,-5.984734031493957,-5.983169344931952,-5.980953269159244,-5.977788179823534,-5.9732787074078715,-5.966876540743513,-5.957762800013299,-5.944675662015072,-5.9260322108005,-5.899581815325391,-5.862297068895799,-5.808585237899777,-5.732190674329871,-5.623190643096422
2,-6.540826584022994,-6.49339827369063,-6.461735991914864,-6.440083976689138,-6.424499002394086,-6.4127687651481295,-6.403216441755461,-6.392132882627294,-6.384420284893849,-6.380280796624149,-6.378205127631105,-6.377103118183896,-6.376502962030628,-6.376169221986288,-6.375978463139646,-6.375952271031551,-6.375883378362545,-6.375840349340081,-6.375812514850395,-6.375794237983982,-6.375781900070834,-6.375773540410421,-6.375767706677635,-6.375763560063504,-6.375760538388278,-6.375758172823893,-6.375752240169632,-6.375750897060087,-6.375748986768983,-6.375746265965049,-6.375742386687946,-6.375736876963089,-6.375729024124908,-6.375717841010072,-6.375701915584443,-6.37567927042079,-6.37564698927784,-6.3756009775721765,-6.375535517338051,-6.375442272928808,-6.37530941505274,-6.375120200256262,-6.374851433413596,-6.374467945552524,-6.373922582571382,-6.373145857670025,-6.372034052557112,-6.370455410341421,-6.368219569179757,-6.365026250408462,-6.360476561624338,-6.354017306489581,-6.344822319238773,-6.331618581504486,-6.312808268821584,-6.286122077203643,-6.248505351565768,-6.194316587495521,-6.117234108114317,-6.0072522341499734
3,-6.9366372056132235,-6.888782890593873,-6.856844198285046,-6.834997064529773,-6.819271644750771,-6.807435699293393,-6.79779729414139,-6.7866139769229505,-6.778676441371118,-6.774636390824398,-6.772632399509334,-6.771523685441025,-6.770919879982614,-6.770584111284407,-6.770392193131926,-6.770278229561555,-6.770208718313356,-6.770165302938551,-6.770137218526315,-6.770118777554302,-6.770106328860535,-6.770097894139852,-6.770092008026737,-6.77008782418055,-6.77008477537413,-6.770082388569605,-6.7700764025725135,-6.770075047371762,-6.770073119883534,-6.770070374585956,-6.770066460386133,-6.7700609010607025,-6.770052977528252,-6.770041693738833,-6.770025624946641,-6.770002775922819,-6.769970204173077,-6.769923778252988,-6.769857728721817,-6.7697636448926914,-6.769629590982348,-6.769438672807993,-6.769167486434839,-6.768780546291822,-6.768230273789385,-6.767446556605549,-6.766324742494319,-6.764731889119233,-6.76247592092875,-6.759253856733352,-6.754663214932123,-6.748145823887754,-6.7388680942580095,-6.7255455923675385,-6.706567355602218,-6.679639188717985,-6.641684376805429,-6.587009743135894,-6.509224657174599,-6.3984898739497424
4,-7.339658012600765,-7.291368663634302,-7.259148734543118,-7.237102929369627,-7.221234507142242,-7.209290928942806,-7.199564874823295,-7.188279983904351,-7.180251336418593,-7.176269018220452,-7.174161783988652,-7.1730430217997,-7.172433744148293,-7.172094932436636,-7.1719012749651085,-7.171786278346659,-7.171716137129877,-7.1716723282888495,-7.171643989352518,-7.171625381253236,-7.171612819739053,-7.171604308575937,-7.171598369118001,-7.171594147354426,-7.171591070917032,-7.171588662481312,-7.171582622159789,-7.171581254645574,-7.171579309643747,-7.171576539401954,-7.1715725896371225,-7.1715669797987545,-7.17155898427194,-7.171547597956291,-7.17153138316057,-7.1715083265268476,-7.171475458825213,-7.171428611072088,-7.1713619614050685,-7.171267022716293,-7.171131750773,-7.170939097889715,-7.170665447482136,-7.170274991555871,-7.169719719223622,-7.16892888113118,-7.167796874189591,-7.166189548225162,-7.16391308268453,-7.160661744014064,-7.15602939504879,-7.149452796369317,-7.140090795550719,-7.126647323424137,-7.107496998738597,-7.080323563291742,-7.042024411832543,-6.986854788645459,-6.908352059189852,-6.796648474307588
5,-7.75008689396698,-7.701289476441417,-7.668847786659001,-7.646599660624531,-7.630585609106674,-7.618532421039049,-7.608717107913563,-7.59732877890815,-7.589207555287757,-7.585197980063853,-7.583071469031353,-7.581942472583421,-7.581327621366981,-7.580985710269317,-7.580790281257194,-7.58067423267272,-7.580603449818327,-7.580559240223138,-7.580530642048089,-7.580511863725661,-7.580499187301442,-7.580490598279994,-7.580484604489143,-7.580480344105723,-7.580477239525891,-7.580474809058316,-7.580468713406091,-7.580467333350114,-7.580465370510666,-7.580462574862622,-7.580458588874109,-7.580452927587331,-7.580444858732804,-7.580433367992043,-7.580417004488837,-7.580393736400509,-7.580360567265885,-7.580313289867647,-7.5802460289501,-7.580150219569859,-7.580013707035519,-7.579819287316468,-7.5795431272400435,-7.57914909041682,-7.578588725654768,-7.5777906347667425,-7.576648246205565,-7.575026179576412,-7.572728836973255,-7.569447681414189,-7.564772852230092,-7.558135947689891,-7.548688110158025,-7.535121412392627,-7.515795662858494,-7.488372623850395,-7.449722723465726,-7.394048786436386,-7.314813019407495,-7.202123928345102
6,-8.16812948301596,-8.118889088042437,-8.086146909953627,-8.063692712705432,-8.04753033242008,-8.035365502688023,-8.025459275997349,-8.013794455223959,-8.005853010548407,-8.001712775020223,-7.999566627749246,-7.998427206146019,-7.997806677402934,-7.997461609107901,-7.9972643755112784,-7.997147255338845,-7.997075818878699,-7.997031201054099,-7.997002338804805,-7.996983387084313,-7.996970593606505,-7.99696192527459,-7.996955876137363,-7.996951576413636,-7.9969484431662465,-7.996945990255881,-7.996939838240621,-7.996938445409157,-7.996936464398971,-7.9969336428706725,-7.996929619982453,-7.996923906287222,-7.996915762736435,-7.996904165621984,-7.996887650636182,-7.996864167147223,-7.996830690954553,-7.9967829758932965,-7.996715092318482,-7.996618395998411,-7.996480619721851,-7.99628440019525,-7.996005683615834,-7.995607999070231,-7.995042446844167,-7.994236967808391,-7.993084003880199,-7.991446921477859,-7.989128312151735,-7.985816783114828,-7.9810986805425586,-7.974400343580243,-7.964865064126272,-7.951172830529629,-7.931668344925981,-7.903991123387016,-7.864983899353092,-7.808796101728248,-7.728811532386757,-7.615120151956518
7,-8.59399928367543,-8.54430765567409,-8.511259368175644,-8.488595244546758,-8.472281760571732,-8.460003200593846,-8.450004359537346,-8.438211308632262,-8.430205103349365,-8.42602627457157,-8.423860121981775,-8.422710079279838,-8.422083766300787,-8.421735481468872,-8.421536409370788,-8.42141819747006,-8.421346095119645,-8.421301061393038,-8.4212719301064,-8.42125280172867,-8.421239888997448,-8.421231139864105,-8.42122503434031,-8.421220694537197,-8.421217532083347,-8.421215056308384,-8.4212088468703,-8.421207441022744,-8.421205441499978,-8.421202593604576,-8.421198533122507,-8.421192766032888,-8.421184546380687,-8.421172840891344,-8.421156171573031,-8.421132468631157,-8.421098679603858,-8.42105051864587,-8.420982000700008,-8.42088440075446,-8.420745336961204,-8.420547283767732,-8.420265962590122,-8.419864561697949,-8.419293724416491,-8.418480718238825,-8.4173169799857,-8.415664599306112,-8.413324323130325,-8.409981849099722,-8.405219658756067,-8.398458732840197,-8.388834364024959,-8.37501422522088,-8.355327613996252,-8.327393923602614,-8.288020188925486,-8.231308745482082,-8.15055922358691,-8.03585329650329
8,-9.027917970848208,-8.977766670266902,-8.94440649310333,-8.921528479064094,-8.90506103811775,-8.892666600334252,-8.882573396082364,-8.870755816569414,-8.862577553339463,-8.858359400051341,-8.856172863075926,-8.855011998030932,-8.854379791220097,-8.854028228906614,-8.853827283472498,-8.853707959158285,-8.853635178300905,-8.853589720792115,-8.85356031537043,-8.853541006988507,-8.853527972744232,-8.853519141278767,-8.853512978299932,-8.853508597657807,-8.853505405444324,-8.853502906371418,-8.853496638421731,-8.853495219311299,-8.853493200924873,-8.853490326161989,-8.85348622737284,-8.853480405875686,-8.853472108678403,-8.853460292757859,-8.853443466179385,-8.853419539621001,-8.85338543182391,-8.85333681650971,-8.85326765215747,-8.853169131442584,-8.853028755705665,-8.852828834056595,-8.852544858866153,-8.852139671120284,-8.851563448514042,-8.850742772387377,-8.849568055393746,-8.847900086186186,-8.845537732068877,-8.842163725880553,-8.83735661112432,-8.830531908221516,-8.820816758056836,-8.806866281692422,-8.786994069464171,-8.758797256930421,-8.719051863957404,-8.661806736174967,-8.580275710043423,-8.464531660114588
9,-9.470115715812014,-9.419496077983084,-9.385818066011126,-9.362722084452713,-9.346097751860029,-9.333585227448822,-9.323215463881851,-9.31145546362913,-9.30320564079949,-9.298941504578934,-9.296734193696167,-9.295562299512667,-9.294924086250901,-9.294569183830504,-9.294366329264989,-9.294245871281689,-9.294172398952455,-9.29412650956408,-9.294096824769383,-9.294077332943573,-9.294064174864559,-9.294055259493646,-9.294049037962068,-9.2940446157006,-9.29404139315875,-9.29403887034293,-9.294032542762551,-9.294031110135279,-9.294029072524069,-9.294026170379666,-9.294022032550302,-9.294016155604524,-9.294007779377864,-9.293995850912935,-9.293978864064144,-9.293954709609793,-9.293920276942188,-9.293871198576,-9.29380137544608,-9.29370191633997,-9.293560203550925,-9.29335837768727,-9.293071697690152,-9.292662650616336,-9.292080939618742,-9.291252446751841,-9.290066540900213,-9.288382684819709,-9.28599783020806,-9.282591688338414,-9.277738789244381,-9.270849088332696,-9.261041418075607,-9.246958105350657,-9.226896724769304,-9.19843169218342,-9.158307599986884,-9.100518481921341,-9.018387875069166,-8.901389609010408
