Stream,Type,Original unit,HXN unit,H_in (kJ),H_out (kJ),T_in (C),T_out (C)
0,Cold,D401 - boiler,Util_0_hs,65703165.41102498,133163897.63907257,216.03919231267764,216.2252128899505
1,Cold,D404 - boiler,HX_6_1_cs,46948765.17043313,195620994.7645811,94.90496985456764,98.67953280265766
2,Cold,F402 - heat exchanger,HX_6_2_cs,28399609.63314416,28399609.63314416,98.67953280265766,
2,Cold,F402 - heat exchanger,HX_2_15_hs,28399609.63314416,29712176.821381006,,
2,Cold,F402 - heat exchanger,HX_7_2_cs,28399609.63314416,30689065.84251949,,
2,Cold,F402 - heat exchanger,HX_11_2_cs,30689124.08096667,30790297.94815524,,
2,Cold,F402 - heat exchanger,HX_13_2_cs,30790362.98391986,32002178.920651924,,
2,Cold,F402 - heat exchanger,HX_2_12_hs,29713035.875890847,77374869.78831828,,
2,Cold,F402 - heat exchanger,Util_2_hs,77374915.66678117,201573750.59013924,,122.09436636316309
3,Cold,D403 - boiler,Util_3_hs,280624757.10334104,542254838.4746875,151.33130948200443,215.8497847935178
4,Cold,D402 - boiler,HX_6_4_cs,177130258.979648,177130258.979648,95.30107984775964,
4,Cold,D402 - boiler,HX_7_4_cs,177130258.979648,208372461.78553405,,
4,Cold,D402 - boiler,HX_11_4_cs,208372454.97554058,208445627.33362252,,
4,Cold,D402 - boiler,HX_13_4_cs,208445615.27974945,209391116.16524708,,
4,Cold,D402 - boiler,HX_15_4_cs,209391102.14875254,209674046.66660953,,
4,Cold,D402 - boiler,Util_4_hs,177130258.979648,546830290.9840469,,129.99956257846065
5,Cold,F401 - heat exchanger,HX_6_5_cs,83175284.96302415,109531418.55116315,78.50235615437037,
5,Cold,F401 - heat exchanger,HX_11_5_cs,109531418.55116315,109629119.53851987,,
5,Cold,F401 - heat exchanger,HX_13_5_cs,109629119.53851987,110985289.69400187,,
5,Cold,F401 - heat exchanger,HX_15_5_cs,110985289.69400187,111072010.94573072,,
5,Cold,F401 - heat exchanger,Util_5_hs,109531418.55116315,912793321.2423589,,105.85000000000002
6,Hot,F401_H,HX_6_1_cs,898772847.8760171,750100618.2818682,105.90860218741398,
6,Hot,F401_H,HX_6_5_cs,750100627.4458936,723744493.8577613,,
6,Hot,F401_H,HX_6_4_cs,723744417.9098904,723744417.9098904,,
6,Hot,F401_H,HX_6_2_cs,723744417.9098904,723744417.9098904,,
6,Hot,F401_H,Util_6_cs,723744417.9098904,103997556.59086984,,100.01367897236588
7,Hot,F402_H1,HX_7_2_cs,185891403.85969964,183601947.6503229,122.09436636314291,
7,Hot,F402_H1,HX_7_4_cs,183601947.65032288,152359744.8448088,,
7,Hot,F402_H1,Util_7_cs,152359744.8448088,21635216.91008159,,95.83231590520768
8,Hot,D402 - condenser,Util_8_cs,301109960.35104007,135848735.32500055,78.2262111986538,78.19689317088518
9,Hot,D404 - condenser,Util_9_cs,160406036.30633575,34341712.63406157,78.15430185482455,78.1378195469253
10,Hot,D402_H,Util_10_cs,112143739.25894707,14141204.367130063,78.19689317088518,78.1571112747813
11,Hot,H201,HX_11_2_cs,70403566.9246819,70302393.05749178,114.7335175832149,
11,Hot,H201,HX_11_4_cs,70302393.05749178,70229220.70006792,,
11,Hot,H201,HX_11_5_cs,70229220.70006792,70131519.71273078,,
11,Hot,H201,Util_11_cs,70131519.71273078,8124761.676566256,,99.53854208070715
12,Hot,D403 - condenser,HX_2_12_hs,109331236.68567401,61669402.77324602,151.74696771312892,134.08873421446708
13,Hot,D403_H,HX_13_2_cs,21439910.937720962,20228095.000984777,134.08873421446708,
13,Hot,D403_H,HX_13_4_cs,20228095.000984777,19282594.116251916,,
13,Hot,D403_H,HX_13_5_cs,19282594.116251916,17926423.96077872,,
13,Hot,D403_H,Util_13_cs,17926423.96077872,6684346.10806816,,93.49956278086239
14,Hot,D401_H,Util_14_cs,29850977.310403913,3455044.3083005883,99.97552553468364,99.91626860878273
15,Hot,F402_H2,HX_2_15_hs,7775047.565419413,6462480.377161188,122.09436636316258,
15,Hot,F402_H2,HX_15_4_cs,6462480.377161188,6179535.859309268,,
15,Hot,F402_H2,HX_15_5_cs,6179535.859309268,6092814.60758853,,
15,Hot,F402_H2,Util_15_cs,6092814.60758853,3736393.548845495,,71.85000000000002
